from,to,org_slug,reason
/AAIB,/government/organisations/air-accidents-investigation-branch,air-accidents-investigation-branch,Organisation short url imported from router-data
/aaib,/government/organisations/air-accidents-investigation-branch,air-accidents-investigation-branch,Organisation short url imported from router-data
/ACCEA,/government/organisations/advisory-committee-on-clinical-excellence-awards,advisory-committee-on-clinical-excellence-awards,Organisation short url imported from router-data
/accea,/government/organisations/advisory-committee-on-clinical-excellence-awards,advisory-committee-on-clinical-excellence-awards,Organisation short url imported from router-data
/ACCO,/government/organisations/advisory-committee-on-conscientious-objectors,advisory-committee-on-conscientious-objectors,Organisation short url imported from router-data
/acco,/government/organisations/advisory-committee-on-conscientious-objectors,advisory-committee-on-conscientious-objectors,Organisation short url imported from router-data
/ACJP,/government/organisations/advisory-committees-on-justices-of-the-peace,advisory-committees-on-justices-of-the-peace,Organisation short url imported from router-data
/acjp,/government/organisations/advisory-committees-on-justices-of-the-peace,advisory-committees-on-justices-of-the-peace,Organisation short url imported from router-data
/ACMD,/government/organisations/advisory-council-on-the-misuse-of-drugs,advisory-council-on-the-misuse-of-drugs,Organisation short url imported from router-data
/acmd,/government/organisations/advisory-council-on-the-misuse-of-drugs,advisory-council-on-the-misuse-of-drugs,Organisation short url imported from router-data
/ACOBA,/government/organisations/advisory-committee-on-business-appointments,advisory-committee-on-business-appointments,Organisation short url imported from router-data
/acoba,/government/organisations/advisory-committee-on-business-appointments,advisory-committee-on-business-appointments,Organisation short url imported from router-data
/ACRE,/government/organisations/advisory-committee-on-releases-to-the-environment,advisory-committee-on-releases-to-the-environment,Organisation short url imported from router-data
/acre,/government/organisations/advisory-committee-on-releases-to-the-environment,advisory-committee-on-releases-to-the-environment,Organisation short url imported from router-data
/adjudicators-office,/government/organisations/the-adjudicator-s-office,the-adjudicator-s-office,Organisation short url imported from router-data
/AFPRB,/government/organisations/armed-forces-pay-review-body,armed-forces-pay-review-body,Organisation short url imported from router-data
/afprb,/government/organisations/armed-forces-pay-review-body,armed-forces-pay-review-body,Organisation short url imported from router-data
/AGMM,/government/organisations/advisory-group-on-military-medicine,advisory-group-on-military-medicine,Organisation short url imported from router-data
/agmm,/government/organisations/advisory-group-on-military-medicine,advisory-group-on-military-medicine,Organisation short url imported from router-data
/AGO,/government/organisations/attorney-generals-office,attorney-generals-office,Organisation short url imported from router-data
/ago,/government/organisations/attorney-generals-office,attorney-generals-office,Organisation short url imported from router-data
/AHVLA,/government/organisations/animal-health-and-veterinary-laboratories-agency,animal-health-and-veterinary-laboratories-agency,Organisation short url imported from router-data
/ahvla,/government/organisations/animal-health-and-veterinary-laboratories-agency,animal-health-and-veterinary-laboratories-agency,Organisation short url imported from router-data
/airports-commission,/government/organisations/airports-commission,airports-commission,Organisation short url imported from router-data
/ALT,/government/organisations/hm-courts-and-tribunals-service,hm-courts-and-tribunals-service,Organisation short url imported from router-data
/alt,/government/organisations/hm-courts-and-tribunals-service,hm-courts-and-tribunals-service,Organisation short url imported from router-data
/animals-in-science-committee,/government/organisations/animals-in-science-committee,animals-in-science-committee,Organisation short url imported from router-data
/APC,/government/organisations/animal-procedures-committee,animal-procedures-committee,Organisation short url imported from router-data
/apc,/government/organisations/animal-procedures-committee,animal-procedures-committee,Organisation short url imported from router-data
/apha,/government/organisations/animal-and-plant-health-agency,animal-and-plant-health-agency,Organisation short url imported from router-data
/behavioural-insights-team,/government/organisations/behavioural-insights-team,behavioural-insights-team,Organisation short url imported from router-data
/biometrics-commissioner,/government/organisations/biometrics-commissioner,biometrics-commissioner,Organisation short url imported from router-data
/BIS,/government/organisations/department-for-business-innovation-skills,department-for-business-innovation-skills,Organisation short url imported from router-data
/bis,/government/organisations/department-for-business-innovation-skills,department-for-business-innovation-skills,Organisation short url imported from router-data
/bonavacantia,/government/organisations/bona-vacantia,bona-vacantia,Organisation short url imported from router-data
/border-force,/government/organisations/border-force,border-force,Organisation short url imported from router-data
/BRAC,/government/organisations/building-regulations-advisory-committee,building-regulations-advisory-committee,Organisation short url imported from router-data
/brac,/government/organisations/building-regulations-advisory-committee,building-regulations-advisory-committee,Organisation short url imported from router-data
/brdo,/government/organisations/better-regulation-delivery-office,better-regulation-delivery-office,Organisation short url imported from router-data
/british-hallmarking-council,/government/organisations/british-hallmarking-council,british-hallmarking-council,Organisation short url imported from router-data
/ca-tribunal,/government/organisations/competition-appeal-tribunal,competition-appeal-tribunal,Organisation short url imported from router-data
/cabinet-office,/government/organisations/cabinet-office,cabinet-office,Organisation short url imported from router-data
/cabinetoffice,/government/organisations/cabinet-office,cabinet-office,Organisation short url imported from router-data
/CAC,/government/organisations/central-arbitration-committee,central-arbitration-committee,Organisation short url imported from router-data
/cac,/government/organisations/central-arbitration-committee,central-arbitration-committee,Organisation short url imported from router-data
/cac-pensions,/government/organisations/central-advisory-committee-on-pensions-and-compensation,central-advisory-committee-on-pensions-and-compensation,Organisation short url imported from router-data
/CCRC,/government/organisations/criminal-cases-review-commission,criminal-cases-review-commission,Organisation short url imported from router-data
/ccrc,/government/organisations/criminal-cases-review-commission,criminal-cases-review-commission,Organisation short url imported from router-data
/CEFAS,/government/organisations/centre-for-environment-fisheries-and-aquaculture-science,centre-for-environment-fisheries-and-aquaculture-science,Organisation short url imported from router-data
/cefas,/government/organisations/centre-for-environment-fisheries-and-aquaculture-science,centre-for-environment-fisheries-and-aquaculture-science,Organisation short url imported from router-data
/certification-office,/government/organisations/certification-officer,certification-officer,Organisation short url imported from router-data
/certification-officer,/government/organisations/certification-officer,certification-officer,Organisation short url imported from router-data
/CFEL,/government/organisations/capital-for-enterprise-ltd,capital-for-enterprise-ltd,Organisation short url imported from router-data
/cfel,/government/organisations/capital-for-enterprise-ltd,capital-for-enterprise-ltd,Organisation short url imported from router-data
/CFRA,/government/organisations/chief-fire-and-rescue-adviser-unit,chief-fire-and-rescue-adviser-unit,Organisation short url imported from router-data
/cfra,/government/organisations/chief-fire-and-rescue-adviser-unit,chief-fire-and-rescue-adviser-unit,Organisation short url imported from router-data
/CH,/government/organisations/companies-house,companies-house,Organisation short url imported from router-data
/ch,/government/organisations/companies-house,companies-house,Organisation short url imported from router-data
/charity-commission,/government/organisations/charity-commission,charity-commission,Organisation short url imported from router-data
/chevening-foundation,/government/organisations/chevening-foundation,chevening-foundation,Organisation short url imported from router-data
/childrens-commissioner,/government/organisations/office-of-the-children-s-commissioner,office-of-the-children-s-commissioner,Organisation short url imported from router-data
/CHRE,/government/organisations/council-for-healthcare-regulatory-excellence,council-for-healthcare-regulatory-excellence,Organisation short url imported from router-data
/chre,/government/organisations/council-for-healthcare-regulatory-excellence,council-for-healthcare-regulatory-excellence,Organisation short url imported from router-data
/CICA,/government/organisations/criminal-injuries-compensation-authority,criminal-injuries-compensation-authority,Organisation short url imported from router-data
/cica,/government/organisations/criminal-injuries-compensation-authority,criminal-injuries-compensation-authority,Organisation short url imported from router-data
/civil-procedure,/government/organisations/civil-procedure-rules-committee,civil-procedure-rules-committee,Organisation short url imported from router-data
/civil-service,/government/organisations/civil-service,civil-service,Organisation short url imported from router-data
/CMA,/government/organisations/competition-and-markets-authority,competition-and-markets-authority,Organisation short url imported from router-data
/cma,/government/organisations/competition-and-markets-authority,competition-and-markets-authority,Organisation short url imported from router-data
/CNC,/government/organisations/civil-nuclear-constabulary,civil-nuclear-constabulary,Organisation short url imported from router-data
/cnc,/government/organisations/civil-nuclear-constabulary,civil-nuclear-constabulary,Organisation short url imported from router-data
/CNPA,/government/organisations/civil-nuclear-police-authority,civil-nuclear-police-authority,Organisation short url imported from router-data
/cnpa,/government/organisations/civil-nuclear-police-authority,civil-nuclear-police-authority,Organisation short url imported from router-data
/commonwealth-scholarships,/government/organisations/commonwealth-scholarship-commission-in-the-uk,commonwealth-scholarship-commission-in-the-uk,Organisation short url imported from router-data
/communities,/government/organisations/department-for-communities-and-local-government,department-for-communities-and-local-government,Organisation short url imported from router-data
/companies-house,/government/organisations/companies-house,companies-house,Organisation short url imported from router-data
/competition-commission,/government/organisations/competition-commission,competition-commission,Organisation short url imported from router-data
/CORWM,/government/organisations/committee-on-radioactive-waste-management,committee-on-radioactive-waste-management,Organisation short url imported from router-data
/corwm,/government/organisations/committee-on-radioactive-waste-management,committee-on-radioactive-waste-management,Organisation short url imported from router-data
/criminal-procedure,/government/organisations/criminal-procedure-rule-committee,criminal-procedure-rule-committee,Organisation short url imported from router-data
/CS,/government/organisations/competition-service,competition-service,Organisation short url imported from router-data
/cs,/government/organisations/competition-service,competition-service,Organisation short url imported from router-data
/CST,/government/organisations/council-for-science-and-technology,council-for-science-and-technology,Organisation short url imported from router-data
/cst,/government/organisations/council-for-science-and-technology,council-for-science-and-technology,Organisation short url imported from router-data
/DBS,/government/organisations/disclosure-and-barring-service,disclosure-and-barring-service,Organisation short url imported from router-data
/dbs,/government/organisations/disclosure-and-barring-service,disclosure-and-barring-service,Organisation short url imported from router-data
/DCLG,/government/organisations/department-for-communities-and-local-government,department-for-communities-and-local-government,Organisation short url imported from router-data
/dclg,/government/organisations/department-for-communities-and-local-government,department-for-communities-and-local-government,Organisation short url imported from router-data
/DCMS,/government/organisations/department-for-culture-media-sport,department-for-culture-media-sport,Organisation short url imported from router-data
/dcms,/government/organisations/department-for-culture-media-sport,department-for-culture-media-sport,Organisation short url imported from router-data
/DECC,/government/organisations/department-of-energy-climate-change,department-of-energy-climate-change,Organisation short url imported from router-data
/decc,/government/organisations/department-of-energy-climate-change,department-of-energy-climate-change,Organisation short url imported from router-data
/DEFRA,/government/organisations/department-for-environment-food-rural-affairs,department-for-environment-food-rural-affairs,Organisation short url imported from router-data
/defra,/government/organisations/department-for-environment-food-rural-affairs,department-for-environment-food-rural-affairs,Organisation short url imported from router-data
/DES,/government/organisations/defence-equipment-and-support,defence-equipment-and-support,Organisation short url imported from router-data
/des,/government/organisations/defence-equipment-and-support,defence-equipment-and-support,Organisation short url imported from router-data
/DFE,/government/organisations/department-for-education,department-for-education,Organisation short url imported from router-data
/dfe,/government/organisations/department-for-education,department-for-education,Organisation short url imported from router-data
/DFID,/government/organisations/department-for-international-development,department-for-international-development,Organisation short url imported from router-data
/dfid,/government/organisations/department-for-international-development,department-for-international-development,Organisation short url imported from router-data
/DFT,/government/organisations/department-for-transport,department-for-transport,Organisation short url imported from router-data
/dft,/government/organisations/department-for-transport,department-for-transport,Organisation short url imported from router-data
/DH,/government/organisations/department-of-health,department-of-health,Organisation short url imported from router-data
/dh,/government/organisations/department-of-health,department-of-health,Organisation short url imported from router-data
/DIO,/government/organisations/defence-infrastructure-organisation,defence-infrastructure-organisation,Organisation short url imported from router-data
/dio,/government/organisations/defence-infrastructure-organisation,defence-infrastructure-organisation,Organisation short url imported from router-data
/DMO,/government/organisations/uk-debt-management-office,uk-debt-management-office,Organisation short url imported from router-data
/dmo,/government/organisations/uk-debt-management-office,uk-debt-management-office,Organisation short url imported from router-data
/DNSC,/government/organisations/defence-nuclear-safety-committee,defence-nuclear-safety-committee,Organisation short url imported from router-data
/dnsc,/government/organisations/defence-nuclear-safety-committee,defence-nuclear-safety-committee,Organisation short url imported from router-data
/DPM,/government/organisations/deputy-prime-ministers-office,deputy-prime-ministers-office,Organisation short url imported from router-data
/dpm,/government/organisations/deputy-prime-ministers-office,deputy-prime-ministers-office,Organisation short url imported from router-data
/dptac,/government/organisations/disabled-persons-transport-advisory-committee,disabled-persons-transport-advisory-committee,Organisation short url imported from router-data
/DSA,/government/organisations/driving-standards-agency,driving-standards-agency,Organisation short url imported from router-data
/dsa,/government/organisations/driving-standards-agency,driving-standards-agency,Organisation short url imported from router-data
/DSAC,/government/organisations/defence-scientific-advisory-council,defence-scientific-advisory-council,Organisation short url imported from router-data
/dsac,/government/organisations/defence-scientific-advisory-council,defence-scientific-advisory-council,Organisation short url imported from router-data
/DSTL,/government/organisations/defence-science-and-technology-laboratory,defence-science-and-technology-laboratory,Organisation short url imported from router-data
/dstl,/government/organisations/defence-science-and-technology-laboratory,defence-science-and-technology-laboratory,Organisation short url imported from router-data
/DVLA,/government/organisations/driver-and-vehicle-licensing-agency,driver-and-vehicle-licensing-agency,Organisation short url imported from router-data
/dvla,/government/organisations/driver-and-vehicle-licensing-agency,driver-and-vehicle-licensing-agency,Organisation short url imported from router-data
/DWP,/government/organisations/department-for-work-pensions,department-for-work-pensions,Organisation short url imported from router-data
/dwp,/government/organisations/department-for-work-pensions,department-for-work-pensions,Organisation short url imported from router-data
/EA,/government/organisations/environment-agency,environment-agency,Organisation short url imported from router-data
/ea,/government/organisations/environment-agency,environment-agency,Organisation short url imported from router-data
/EFA,/government/organisations/education-funding-agency,education-funding-agency,Organisation short url imported from router-data
/efa,/government/organisations/education-funding-agency,education-funding-agency,Organisation short url imported from router-data
/EGAC,/government/organisations/export-guarantees-advisory-council,export-guarantees-advisory-council,Organisation short url imported from router-data
/egac,/government/organisations/export-guarantees-advisory-council,export-guarantees-advisory-council,Organisation short url imported from router-data
/environment-agency,/government/organisations/environment-agency,environment-agency,Organisation short url imported from router-data
/equality-2025,/government/organisations/equality-2025,equality-2025,Organisation short url imported from router-data
/ERG,/government/organisations/efficiency-and-reform-group,efficiency-and-reform-group,Organisation short url imported from router-data
/erg,/government/organisations/efficiency-and-reform-group,efficiency-and-reform-group,Organisation short url imported from router-data
/family-procedure,/government/organisations/family-procedure-rule-committee,family-procedure-rule-committee,Organisation short url imported from router-data
/FCO,/government/organisations/foreign-commonwealth-office,foreign-commonwealth-office,Organisation short url imported from router-data
/fco,/government/organisations/foreign-commonwealth-office,foreign-commonwealth-office,Organisation short url imported from router-data
/fera,/government/organisations/the-food-and-environment-research-agency,the-food-and-environment-research-agency,Organisation short url imported from router-data
/FERA,/government/organisations/the-food-and-environment-research-agency,the-food-and-environment-research-agency,Organisation short url imported from router-data
/foreign-compensation-commission,/government/organisations/foreign-compensation-commission,foreign-compensation-commission,Organisation short url imported from router-data
/forensic-science-regulator,/government/organisations/forensic-science-regulator,forensic-science-regulator,Organisation short url imported from router-data
/FPAG,/government/organisations/the-fuel-poverty-advisory-group,the-fuel-poverty-advisory-group,Organisation short url imported from router-data
/fpag,/government/organisations/the-fuel-poverty-advisory-group,the-fuel-poverty-advisory-group,Organisation short url imported from router-data
/GAD,/government/organisations/government-actuarys-department,government-actuarys-department,Organisation short url imported from router-data
/gad,/government/organisations/government-actuarys-department,government-actuarys-department,Organisation short url imported from router-data
/GCA,/government/organisations/groceries-code-adjudicator,groceries-code-adjudicator,Organisation short url imported from router-data
/gca,/government/organisations/groceries-code-adjudicator,groceries-code-adjudicator,Organisation short url imported from router-data
/GEO,/government/organisations/government-equalities-office,government-equalities-office,Organisation short url imported from router-data
/geo,/government/organisations/government-equalities-office,government-equalities-office,Organisation short url imported from router-data
/GLA,/government/organisations/gangmasters-licensing-authority,gangmasters-licensing-authority,Organisation short url imported from router-data
/gla,/government/organisations/gangmasters-licensing-authority,gangmasters-licensing-authority,Organisation short url imported from router-data
/GLS,/government/organisations/civil-service-government-legal-service,civil-service-government-legal-service,Organisation short url imported from router-data
/gls,/government/organisations/civil-service-government-legal-service,civil-service-government-legal-service,Organisation short url imported from router-data
/go-science,/government/organisations/government-office-for-science,government-office-for-science,Organisation short url imported from router-data
/GPS,/government/organisations/government-procurement-service,government-procurement-service,Organisation short url imported from router-data
/gps,/government/organisations/government-procurement-service,government-procurement-service,Organisation short url imported from router-data
/HCA,/government/organisations/homes-and-communities-agency,homes-and-communities-agency,Organisation short url imported from router-data
/hca,/government/organisations/homes-and-communities-agency,homes-and-communities-agency,Organisation short url imported from router-data
/healthcareuk,/government/organisations/healthcare-uk,healthcare-uk,Organisation short url imported from router-data
/highways,/government/organisations/highways-agency,highways-agency,Organisation short url imported from router-data
/hm-courts-tribunals,/government/organisations/hm-courts-and-tribunals-service,hm-courts-and-tribunals-service,Organisation short url imported from router-data
/hm-passport-office,/government/organisations/hm-passport-office,hm-passport-office,Organisation short url imported from router-data
/hm-prison-service,/government/organisations/hm-prison-service,hm-prison-service,Organisation short url imported from router-data
/hm-treasury,/government/organisations/hm-treasury,hm-treasury,Organisation short url imported from router-data
/HMNAO,/government/organisations/hm-nautical-almanac-office,hm-nautical-almanac-office,Organisation short url imported from router-data
/hmnao,/government/organisations/hm-nautical-almanac-office,hm-nautical-almanac-office,Organisation short url imported from router-data
/HMPO,/government/organisations/hm-passport-office,hm-passport-office,Organisation short url imported from router-data
/hmpo,/government/organisations/hm-passport-office,hm-passport-office,Organisation short url imported from router-data
/HMRC,/government/organisations/hm-revenue-customs,hm-revenue-customs,Organisation short url imported from router-data
/hmrc,/government/organisations/hm-revenue-customs,hm-revenue-customs,Organisation short url imported from router-data
/home-office,/government/organisations/home-office,home-office,Organisation short url imported from router-data
/HS2,/government/organisations/high-speed-two-limited,high-speed-two-limited,Organisation short url imported from router-data
/hs2,/government/organisations/high-speed-two-limited,high-speed-two-limited,Organisation short url imported from router-data
/IAAP,/government/organisations/independent-agricultural-appeals-panel,independent-agricultural-appeals-panel,Organisation short url imported from router-data
/iaap,/government/organisations/independent-agricultural-appeals-panel,independent-agricultural-appeals-panel,Organisation short url imported from router-data
/ICE,/government/organisations/independent-case-examiner,independent-case-examiner,Organisation short url imported from router-data
/ice,/government/organisations/independent-case-examiner,independent-case-examiner,Organisation short url imported from router-data
/IDAB,/government/organisations/industrial-development-advisory-board,industrial-development-advisory-board,Organisation short url imported from router-data
/idab,/government/organisations/industrial-development-advisory-board,industrial-development-advisory-board,Organisation short url imported from router-data
/IIAC,/government/organisations/industrial-injuries-advisory-council,industrial-injuries-advisory-council,Organisation short url imported from router-data
/iiac,/government/organisations/industrial-injuries-advisory-council,industrial-injuries-advisory-council,Organisation short url imported from router-data
/ILF,/government/organisations/independent-living-fund,independent-living-fund,Organisation short url imported from router-data
/ilf,/government/organisations/independent-living-fund,independent-living-fund,Organisation short url imported from router-data
/insolvency-service,/government/organisations/insolvency-service,insolvency-service,Organisation short url imported from router-data
/ip-tribunal,/government/organisations/insolvency-practitioners-tribunal,insolvency-practitioners-tribunal,Organisation short url imported from router-data
/IPO,/government/organisations/intellectual-property-office,intellectual-property-office,Organisation short url imported from router-data
/ipo,/government/organisations/intellectual-property-office,intellectual-property-office,Organisation short url imported from router-data
/IPS,/government/organisations/hm-passport-office,hm-passport-office,Organisation short url imported from router-data
/ips,/government/organisations/hm-passport-office,hm-passport-office,Organisation short url imported from router-data
/IRC,/government/organisations/insolvency-rules-committee,insolvency-rules-committee,Organisation short url imported from router-data
/irc,/government/organisations/insolvency-rules-committee,insolvency-rules-committee,Organisation short url imported from router-data
/JACO,/government/organisations/judicial-appointments-and-conduct-ombudsman,judicial-appointments-and-conduct-ombudsman,Organisation short url imported from router-data
/jaco,/government/organisations/judicial-appointments-and-conduct-ombudsman,judicial-appointments-and-conduct-ombudsman,Organisation short url imported from router-data
/JFC,/government/organisations/joint-forces-command,joint-forces-command,Organisation short url imported from router-data
/jfc,/government/organisations/joint-forces-command,joint-forces-command,Organisation short url imported from router-data
/judicial-ombudsman,/government/organisations/judicial-appointments-and-conduct-ombudsman,judicial-appointments-and-conduct-ombudsman,Organisation short url imported from router-data
/land-registry,/government/organisations/land-registry,land-registry,Organisation short url imported from router-data
/law-commission,/government/organisations/law-commission,law-commission,Organisation short url imported from router-data
